"path","title","description","caption"
"assets/images/places/bizerte_activity_7.jpg","Bizerte Cycling Escape","Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Bizerte designed for curious travelers seeking active discovery.","Bizerte Cycling Escape - Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Bizerte designed for curious travelers seeking active discovery."
"assets/images/places/bizerte_activity_8.jpg","Bizerte Breeze Adventure Trail","Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Bizerte with local guide support, stories, and practical logistics included.","Bizerte Breeze Adventure Trail - Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Bizerte with local guide support, stories, and practical logistics included."
"assets/images/places/bizerte_artisan_25.jpg","Bizerte Heritage Atelier gallery","Secondary gallery view for Bizerte Heritage Atelier in Bizerte.","Bizerte Heritage Atelier gallery - Secondary gallery view for Bizerte Heritage Atelier in Bizerte."
"assets/images/places/bizerte_artisan_26.jpg","Blue Door Crafts Bizerte gallery","Secondary gallery view for Blue Door Crafts Bizerte in Bizerte.","Blue Door Crafts Bizerte gallery - Secondary gallery view for Blue Door Crafts Bizerte in Bizerte."
"assets/images/places/bizerte_artisan_5.jpg","Bizerte Heritage Atelier","Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Bizerte offering demonstrations, small-batch products, and cultural context.","Bizerte Heritage Atelier - Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Bizerte offering demonstrations, small-batch products, and cultural context."
"assets/images/places/bizerte_artisan_6.jpg","Blue Door Crafts Bizerte","Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Bizerte where travelers can shop responsibly and learn about local techniques.","Blue Door Crafts Bizerte - Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Bizerte where travelers can shop responsibly and learn about local techniques."
"assets/images/places/bizerte_museum_29.jpg","Bizerte Living Heritage House gallery","Secondary gallery view for Bizerte Living Heritage House in Bizerte.","Bizerte Living Heritage House gallery - Secondary gallery view for Bizerte Living Heritage House in Bizerte."
"assets/images/places/bizerte_museum_9.jpg","Bizerte Living Heritage House","Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Bizerte presenting architecture, memory, and craft in a visitor-friendly format.","Bizerte Living Heritage House - Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Bizerte presenting architecture, memory, and craft in a visitor-friendly format."
"assets/images/places/bizerte_naturespot_11.jpg","Bizerte Sea Nature Lookout","Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Bizerte offering guided walks, open views, and easy half-day planning.","Bizerte Sea Nature Lookout - Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Bizerte offering guided walks, open views, and easy half-day planning."
"assets/images/places/bizerte_naturespot_31.jpg","Bizerte Sea Nature Lookout gallery","Secondary gallery view for Bizerte Sea Nature Lookout in Bizerte.","Bizerte Sea Nature Lookout gallery - Secondary gallery view for Bizerte Sea Nature Lookout in Bizerte."
"assets/images/places/bizerte_restaurant_23.jpg","Bizerte Medina Table gallery","Secondary gallery view for Bizerte Medina Table in Bizerte.","Bizerte Medina Table gallery - Secondary gallery view for Bizerte Medina Table in Bizerte."
"assets/images/places/bizerte_restaurant_24.jpg","Olive Route Kitchen Bizerte gallery","Secondary gallery view for Olive Route Kitchen Bizerte in Bizerte.","Olive Route Kitchen Bizerte gallery - Secondary gallery view for Olive Route Kitchen Bizerte in Bizerte."
"assets/images/places/bizerte_restaurant_3.jpg","Bizerte Medina Table","Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Bizerte focused on regional recipes, tasting plates, and warm service.","Bizerte Medina Table - Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Bizerte focused on regional recipes, tasting plates, and warm service."
"assets/images/places/bizerte_restaurant_4.jpg","Olive Route Kitchen Bizerte","Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Bizerte with polished plating and seasonal menus.","Olive Route Kitchen Bizerte - Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Bizerte with polished plating and seasonal menus."
"assets/images/places/bizerte_transport_10.jpg","Bizerte Local Ride Collective","Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Bizerte with airport, station, city, and day-trip options.","Bizerte Local Ride Collective - Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Bizerte with airport, station, city, and day-trip options."
"assets/images/places/bizerte_transport_30.jpg","Bizerte Local Ride Collective gallery","Secondary gallery view for Bizerte Local Ride Collective in Bizerte.","Bizerte Local Ride Collective gallery - Secondary gallery view for Bizerte Local Ride Collective in Bizerte."
"assets/images/places/kef_accommodation_1.jpg","Dar Kef Ridge House","Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Kef with breakfast, concierge help, and nearby heritage routes.","Dar Kef Ridge House - Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Kef with breakfast, concierge help, and nearby heritage routes."
"assets/images/places/kef_accommodation_2.jpg","Kef Summit Guest Lodge","Comfortable guest stay with easy access to local food and activities. Flexible stay option in Kef suited to couples, families, and friends exploring the region.","Kef Summit Guest Lodge - Comfortable guest stay with easy access to local food and activities. Flexible stay option in Kef suited to couples, families, and friends exploring the region."
"assets/images/places/kef_accommodation_21.jpg","Dar Kef Ridge House gallery","Secondary gallery view for Dar Kef Ridge House in Kef.","Dar Kef Ridge House gallery - Secondary gallery view for Dar Kef Ridge House in Kef."
"assets/images/places/kef_accommodation_22.jpg","Kef Summit Guest Lodge gallery","Secondary gallery view for Kef Summit Guest Lodge in Kef.","Kef Summit Guest Lodge gallery - Secondary gallery view for Kef Summit Guest Lodge in Kef."
"assets/images/places/kef_activity_27.jpg","Kef Cycling Escape gallery","Secondary gallery view for Kef Cycling Escape in Kef.","Kef Cycling Escape gallery - Secondary gallery view for Kef Cycling Escape in Kef."
"assets/images/places/kef_activity_28.jpg","Kef Spring Adventure Trail gallery","Secondary gallery view for Kef Spring Adventure Trail in Kef.","Kef Spring Adventure Trail gallery - Secondary gallery view for Kef Spring Adventure Trail in Kef."
"assets/images/places/kef_activity_7.jpg","Kef Cycling Escape","Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Kef designed for curious travelers seeking active discovery.","Kef Cycling Escape - Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Kef designed for curious travelers seeking active discovery."
"assets/images/places/kef_activity_8.jpg","Kef Spring Adventure Trail","Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Kef with local guide support, stories, and practical logistics included.","Kef Spring Adventure Trail - Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Kef with local guide support, stories, and practical logistics included."
"assets/images/places/kef_artisan_25.jpg","Kef Heritage Atelier gallery","Secondary gallery view for Kef Heritage Atelier in Kef.","Kef Heritage Atelier gallery - Secondary gallery view for Kef Heritage Atelier in Kef."
"assets/images/places/kef_artisan_26.jpg","Blue Door Crafts Kef gallery","Secondary gallery view for Blue Door Crafts Kef in Kef.","Blue Door Crafts Kef gallery - Secondary gallery view for Blue Door Crafts Kef in Kef."
"assets/images/places/kef_artisan_5.jpg","Kef Heritage Atelier","Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Kef offering demonstrations, small-batch products, and cultural context.","Kef Heritage Atelier - Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Kef offering demonstrations, small-batch products, and cultural context."
"assets/images/places/kef_artisan_6.jpg","Blue Door Crafts Kef","Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Kef where travelers can shop responsibly and learn about local techniques.","Blue Door Crafts Kef - Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Kef where travelers can shop responsibly and learn about local techniques."
"assets/images/places/kef_museum_29.jpg","Kef Living Heritage House gallery","Secondary gallery view for Kef Living Heritage House in Kef.","Kef Living Heritage House gallery - Secondary gallery view for Kef Living Heritage House in Kef."
"assets/images/places/kef_museum_9.jpg","Kef Living Heritage House","Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Kef presenting architecture, memory, and craft in a visitor-friendly format.","Kef Living Heritage House - Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Kef presenting architecture, memory, and craft in a visitor-friendly format."
"assets/images/places/kef_naturespot_11.jpg","Kef Ridge Nature Lookout","Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Kef offering guided walks, open views, and easy half-day planning.","Kef Ridge Nature Lookout - Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Kef offering guided walks, open views, and easy half-day planning."
"assets/images/places/kef_naturespot_31.jpg","Kef Ridge Nature Lookout gallery","Secondary gallery view for Kef Ridge Nature Lookout in Kef.","Kef Ridge Nature Lookout gallery - Secondary gallery view for Kef Ridge Nature Lookout in Kef."
"assets/images/places/kef_restaurant_23.jpg","Kef Medina Table gallery","Secondary gallery view for Kef Medina Table in Kef.","Kef Medina Table gallery - Secondary gallery view for Kef Medina Table in Kef."
"assets/images/places/kef_restaurant_24.jpg","Olive Route Kitchen Kef gallery","Secondary gallery view for Olive Route Kitchen Kef in Kef.","Olive Route Kitchen Kef gallery - Secondary gallery view for Olive Route Kitchen Kef in Kef."
"assets/images/places/kef_restaurant_3.jpg","Kef Medina Table","Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Kef focused on regional recipes, tasting plates, and warm service.","Kef Medina Table - Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Kef focused on regional recipes, tasting plates, and warm service."
"assets/images/places/kef_restaurant_4.jpg","Olive Route Kitchen Kef","Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Kef with polished plating and seasonal menus.","Olive Route Kitchen Kef - Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Kef with polished plating and seasonal menus."
"assets/images/places/kef_transport_10.jpg","Kef Local Ride Collective","Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Kef with airport, station, city, and day-trip options.","Kef Local Ride Collective - Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Kef with airport, station, city, and day-trip options."
"assets/images/places/kef_transport_30.jpg","Kef Local Ride Collective gallery","Secondary gallery view for Kef Local Ride Collective in Kef.","Kef Local Ride Collective gallery - Secondary gallery view for Kef Local Ride Collective in Kef."
"assets/images/places/zaghouan_accommodation_1.jpg","Dar Zaghouan Ridge House","Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Zaghouan with breakfast, concierge help, and nearby heritage routes.","Dar Zaghouan Ridge House - Boutique courtyard stay curated for culture-led city breaks. A design-led local stay in Zaghouan with breakfast, concierge help, and nearby heritage routes."
"assets/images/places/zaghouan_accommodation_2.jpg","Zaghouan Summit Guest Lodge","Comfortable guest stay with easy access to local food and activities. Flexible stay option in Zaghouan suited to couples, families, and friends exploring the region.","Zaghouan Summit Guest Lodge - Comfortable guest stay with easy access to local food and activities. Flexible stay option in Zaghouan suited to couples, families, and friends exploring the region."
"assets/images/places/zaghouan_accommodation_21.jpg","Dar Zaghouan Ridge House gallery","Secondary gallery view for Dar Zaghouan Ridge House in Zaghouan.","Dar Zaghouan Ridge House gallery - Secondary gallery view for Dar Zaghouan Ridge House in Zaghouan."
"assets/images/places/zaghouan_accommodation_22.jpg","Zaghouan Summit Guest Lodge gallery","Secondary gallery view for Zaghouan Summit Guest Lodge in Zaghouan.","Zaghouan Summit Guest Lodge gallery - Secondary gallery view for Zaghouan Summit Guest Lodge in Zaghouan."
"assets/images/places/zaghouan_activity_27.jpg","Zaghouan Cycling Escape gallery","Secondary gallery view for Zaghouan Cycling Escape in Zaghouan.","Zaghouan Cycling Escape gallery - Secondary gallery view for Zaghouan Cycling Escape in Zaghouan."
"assets/images/places/zaghouan_activity_28.jpg","Zaghouan Spring Adventure Trail gallery","Secondary gallery view for Zaghouan Spring Adventure Trail in Zaghouan.","Zaghouan Spring Adventure Trail gallery - Secondary gallery view for Zaghouan Spring Adventure Trail in Zaghouan."
"assets/images/places/zaghouan_activity_7.jpg","Zaghouan Cycling Escape","Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Zaghouan designed for curious travelers seeking active discovery.","Zaghouan Cycling Escape - Guided cycling route linking scenic stops, food breaks, and local encounters. A cycle-friendly route in Zaghouan designed for curious travelers seeking active discovery."
"assets/images/places/zaghouan_activity_8.jpg","Zaghouan Spring Adventure Trail","Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Zaghouan with local guide support, stories, and practical logistics included.","Zaghouan Spring Adventure Trail - Immersive active outing with local guides and strong sense of place. Bookable outdoor adventure in Zaghouan with local guide support, stories, and practical logistics included."
"assets/images/places/zaghouan_artisan_25.jpg","Zaghouan Heritage Atelier gallery","Secondary gallery view for Zaghouan Heritage Atelier in Zaghouan.","Zaghouan Heritage Atelier gallery - Secondary gallery view for Zaghouan Heritage Atelier in Zaghouan."
"assets/images/places/zaghouan_artisan_26.jpg","Blue Door Crafts Zaghouan gallery","Secondary gallery view for Blue Door Crafts Zaghouan in Zaghouan.","Blue Door Crafts Zaghouan gallery - Secondary gallery view for Blue Door Crafts Zaghouan in Zaghouan."
"assets/images/places/zaghouan_artisan_5.jpg","Zaghouan Heritage Atelier","Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Zaghouan offering demonstrations, small-batch products, and cultural context.","Zaghouan Heritage Atelier - Meet makers preserving regional craft gestures through hands-on workshops. Local artisan studio in Zaghouan offering demonstrations, small-batch products, and cultural context."
"assets/images/places/zaghouan_artisan_6.jpg","Blue Door Crafts Zaghouan","Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Zaghouan where travelers can shop responsibly and learn about local techniques.","Blue Door Crafts Zaghouan - Textile, ceramics, or woodwork collections inspired by Tunisian detail. Curated artisan address in Zaghouan where travelers can shop responsibly and learn about local techniques."
"assets/images/places/zaghouan_museum_29.jpg","Zaghouan Living Heritage House gallery","Secondary gallery view for Zaghouan Living Heritage House in Zaghouan.","Zaghouan Living Heritage House gallery - Secondary gallery view for Zaghouan Living Heritage House in Zaghouan."
"assets/images/places/zaghouan_museum_9.jpg","Zaghouan Living Heritage House","Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Zaghouan presenting architecture, memory, and craft in a visitor-friendly format.","Zaghouan Living Heritage House - Compact cultural stop connecting architecture, objects, and stories of the region. A heritage venue in Zaghouan presenting architecture, memory, and craft in a visitor-friendly format."
"assets/images/places/zaghouan_naturespot_11.jpg","Zaghouan Ridge Nature Lookout","Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Zaghouan offering guided walks, open views, and easy half-day planning.","Zaghouan Ridge Nature Lookout - Scenic stop for slow walks, light hikes, and panoramic views. Accessible nature point in Zaghouan offering guided walks, open views, and easy half-day planning."
"assets/images/places/zaghouan_naturespot_31.jpg","Zaghouan Ridge Nature Lookout gallery","Secondary gallery view for Zaghouan Ridge Nature Lookout in Zaghouan.","Zaghouan Ridge Nature Lookout gallery - Secondary gallery view for Zaghouan Ridge Nature Lookout in Zaghouan."
"assets/images/places/zaghouan_restaurant_23.jpg","Zaghouan Medina Table gallery","Secondary gallery view for Zaghouan Medina Table in Zaghouan.","Zaghouan Medina Table gallery - Secondary gallery view for Zaghouan Medina Table in Zaghouan."
"assets/images/places/zaghouan_restaurant_24.jpg","Olive Route Kitchen Zaghouan gallery","Secondary gallery view for Olive Route Kitchen Zaghouan in Zaghouan.","Olive Route Kitchen Zaghouan gallery - Secondary gallery view for Olive Route Kitchen Zaghouan in Zaghouan."
"assets/images/places/zaghouan_restaurant_3.jpg","Zaghouan Medina Table","Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Zaghouan focused on regional recipes, tasting plates, and warm service.","Zaghouan Medina Table - Seasonal Tunisian dishes, market ingredients, and generous local hospitality. A reliable culinary stop in Zaghouan focused on regional recipes, tasting plates, and warm service."
"assets/images/places/zaghouan_restaurant_4.jpg","Olive Route Kitchen Zaghouan","Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Zaghouan with polished plating and seasonal menus.","Olive Route Kitchen Zaghouan - Modern local dining with shared plates and regional produce. Contemporary Tunisian cooking in Zaghouan with polished plating and seasonal menus."
"assets/images/places/zaghouan_transport_10.jpg","Zaghouan Local Ride Collective","Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Zaghouan with airport, station, city, and day-trip options.","Zaghouan Local Ride Collective - Private and shared transfer options connecting stations, stays, and key sights. Reliable local transport partner in Zaghouan with airport, station, city, and day-trip options."
"assets/images/places/zaghouan_transport_30.jpg","Zaghouan Local Ride Collective gallery","Secondary gallery view for Zaghouan Local Ride Collective in Zaghouan.","Zaghouan Local Ride Collective gallery - Secondary gallery view for Zaghouan Local Ride Collective in Zaghouan."
